date,symbol,margin_balance,short_balance,day_trade_volume,total_volume
2026-07-13,2228,1782.0,,,67672.0
2026-07-13,2231,3082.0,,,3065186.0
2026-07-13,2233,6019.0,,,228728.0
2026-07-13,2236,11395.0,,,406948.0
2026-07-13,2239,1520.0,,,57297.0
2026-07-13,2241,8322.0,,,907997.0
2026-07-13,2243,1305.0,,,2016643.0
2026-07-13,2247,137.0,,,40038.0
2026-07-13,2248,325.0,,,84636.0
2026-07-13,2250,1322.0,,,149337.0
2026-07-13,2254,2518.0,,,1000.0
2026-07-13,2301,17880.0,,,10363018.0
2026-07-13,2302,4640.0,,,3564877.0
2026-07-13,2303,233308.0,,,59926265.0
2026-07-13,2305,8086.0,,,5351004.0
2026-07-13,2308,7871.0,,,8337141.0
2026-07-13,2312,52179.0,,,20796099.0
2026-07-13,2313,45898.0,,,33952098.0
2026-07-13,2316,4392.0,,,3297095.0
2026-07-13,2317,57028.0,,,40528079.0
2026-07-13,2323,29106.0,,,5176770.0
2026-07-13,2324,61050.0,,,69252207.0
2026-07-13,2327,46020.0,,,51406489.0
2026-07-13,2328,19615.0,,,1599399.0
2026-07-13,2329,18023.0,,,4001778.0
2026-07-13,2330,33061.0,,,34681018.0
2026-07-13,2331,10269.0,,,1494316.0
2026-07-13,2332,22991.0,,,10403386.0
2026-07-13,2337,96971.0,,,62991541.0
2026-07-13,2338,6567.0,,,1909549.0
2026-07-13,2340,9375.0,,,4510708.0
2026-07-13,2342,6405.0,,,6435688.0
2026-07-13,2344,138692.0,,,160890217.0
2026-07-13,2345,1821.0,,,2856685.0
2026-07-13,2347,1069.0,,,13319225.0
2026-07-13,2348,2301.0,,,489881.0
2026-07-13,2351,20920.0,,,3947186.0
2026-07-13,2352,16906.0,,,20273953.0
2026-07-13,2353,43196.0,,,52267432.0
2026-07-13,2354,26188.0,,,3706464.0
2026-07-13,2355,13426.0,,,2659752.0
2026-07-13,2356,33753.0,,,143660934.0
2026-07-13,2357,2523.0,,,4811935.0
2026-07-13,2359,6184.0,,,2757251.0
2026-07-13,2360,1158.0,,,2970158.0
2026-07-13,2362,2468.0,,,625372.0
2026-07-13,2363,20791.0,,,7284656.0
2026-07-13,2364,744.0,,,113084.0
2026-07-13,2365,9702.0,,,1989229.0
2026-07-13,2367,34827.0,,,10521090.0
2026-07-13,2368,5426.0,,,8061580.0
2026-07-13,2369,16424.0,,,44657517.0
2026-07-13,2371,52875.0,,,8865793.0
2026-07-13,2373,47.0,,,28645.0
2026-07-13,2374,20759.0,,,2515367.0
2026-07-13,2375,10394.0,,,9615584.0
2026-07-13,2376,7863.0,,,4075604.0
2026-07-13,2377,14317.0,,,19977687.0
2026-07-13,2379,3179.0,,,7141458.0
2026-07-13,2382,12362.0,,,13993644.0
2026-07-13,2383,1924.0,,,1991369.0
2026-07-13,2385,3480.0,,,4291186.0
2026-07-13,2387,1362.0,,,253446.0
2026-07-13,2388,12109.0,,,10470533.0
2026-07-13,2390,2096.0,,,1597390.0
2026-07-13,2392,4755.0,,,1494487.0
2026-07-13,2393,2837.0,,,3456470.0
2026-07-13,2395,1965.0,,,6782199.0
2026-07-13,2397,1665.0,,,253153.0
2026-07-13,2399,11841.0,,,4235191.0
2026-07-13,2401,9019.0,,,12984131.0
2026-07-13,2402,14335.0,,,2239551.0
2026-07-13,2404,2404.0,,,2001376.0
2026-07-13,2405,8158.0,,,3203553.0
2026-07-13,2406,14498.0,,,16033349.0
2026-07-13,2408,81280.0,,,85459123.0
2026-07-13,2409,219350.0,,,585706614.0
2026-07-13,2412,711.0,,,59918934.0
2026-07-13,2413,4867.0,,,1479483.0
2026-07-13,2414,722.0,,,233236.0
2026-07-13,2415,2379.0,,,927042.0
2026-07-13,2417,3965.0,,,975303.0
